date,time_utc,bikes_available,docks_available,bike_available_yn
2026-04-01,08:46,0,4,NO
2026-04-02,08:34,4,4,YES
2026-04-03,08:11,5,4,YES
2026-04-04,08:03,0,6,NO
2026-04-05,08:05,3,4,YES
2026-04-06,08:53,0,7,NO
2026-04-07,08:43,4,4,YES
2026-04-08,08:43,4,4,YES
2026-04-09,08:51,0,7,NO
2026-04-10,08:52,0,6,NO
2026-04-11,08:04,0,8,NO
2026-04-12,08:12,0,8,NO
2026-04-13,09:19,0,6,NO
2026-04-14,09:04,0,4,NO
2026-04-15,09:04,0,4,NO
2026-04-16,09:04,3,5,YES
2026-04-17,09:03,1,6,YES
2026-04-18,08:08,3,4,YES
2026-04-19,08:33,0,7,NO
2026-04-20,09:26,2,5,YES
2026-04-21,09:11,0,7,NO
2026-04-22,09:06,0,7,NO
2026-04-23,09:12,0,7,NO
2026-04-24,09:16,1,5,YES
2026-04-25,08:31,0,7,NO
2026-04-26,08:43,1,6,YES
2026-04-27,09:39,0,7,NO
2026-04-28,09:42,0,6,NO
2026-04-29,09:34,2,5,YES
2026-04-30,09:35,2,5,YES
2026-05-01,09:16,1,5,YES
2026-05-02,08:50,3,5,YES
2026-05-03,09:04,0,8,NO
2026-05-04,09:38,0,7,NO
2026-05-05,09:28,1,6,YES
2026-05-06,09:42,0,8,NO
2026-05-07,10:01,0,7,NO
2026-05-08,08:56,0,6,NO
2026-05-09,09:00,3,4,YES
2026-05-10,09:13,0,8,NO
2026-05-11,10:46,0,8,NO
2026-05-12,10:05,0,7,NO
2026-05-13,10:05,1,5,YES
2026-05-14,09:56,8,4,YES
2026-05-15,10:02,0,6,NO
2026-05-16,09:11,3,5,YES
2026-05-17,09:20,1,7,YES
2026-05-18,11:30,2,5,YES
2026-05-19,10:47,2,5,YES
2026-05-20,10:34,0,7,NO
2026-05-21,10:52,0,7,NO
2026-05-22,10:33,2,5,YES
2026-05-23,09:21,0,6,NO
2026-05-24,09:28,0,6,NO
2026-05-25,11:35,0,7,NO
2026-05-27,11:04,0,6,NO
2026-05-28,11:05,0,8,NO
2026-05-29,10:56,0,8,NO
2026-05-30,09:30,1,7,YES
2026-05-31,10:00,2,5,YES
2026-06-01,13:13,0,8,NO
